"date","caption","link"
2022-01-14,"Undiagnosed illness, dog - UK: (England) alert, RFI","https://promedmail.org/promed-post/?id=8700838&view=true"
2022-01-14,"COVID-19 update (16): risk factors in children, vaccination, future, WHO","https://promedmail.org/promed-post/?id=8700854&view=true"
2022-01-14,"Avian influenza (15): Canada (NL) poultry","https://promedmail.org/promed-post/?id=8700858&view=true"
2022-01-14,"Clubroot, oilseed rape - Canada: (SK)","https://promedmail.org/promed-post/?id=8700859&view=true"
2022-01-14,"Bovine ephemeral fever - Australia: (QL, NS) cattle","https://promedmail.org/promed-post/?id=8700857&view=true"
2022-01-14,"Pseudorabies (Aujeszky's disease): USA (CO) feral swine","https://promedmail.org/promed-post/?id=8700856&view=true"
2022-01-14,"Surra - Uruguay: (AR, RV) horse, OIE","https://promedmail.org/promed-post/?id=8700855&view=true"
2022-01-13,"Avian influenza (14): Europe (Germany) wild bird, HPAI H5N1, OIE","https://promedmail.org/promed-post/?id=8700846&view=true"
2022-01-13,"COVID-19 update (15): animal, India (UP) wild leopard","https://promedmail.org/promed-post/?id=8700842&view=true"
2022-01-13,"Leishmaniasis - Syria: (DY)","https://promedmail.org/promed-post/?id=8700840&view=true"
2022-01-13,"Salmonellosis, st Uganda - USA: bearded dragon lizard source","https://promedmail.org/promed-post/?id=8700828&view=true"
2022-01-13,"E. coli EHEC - Denmark: O157, unknown source, fatal","https://promedmail.org/promed-post/?id=8700827&view=true"
2022-01-13,"Foot & mouth disease - Russia: (SR, OB) ex Kazakhstan, livestock, susp, int trade","https://promedmail.org/promed-post/?id=8700835&view=true"
2022-01-13,"Anthrax - Argentina: (LP) cattle, recurrence","https://promedmail.org/promed-post/?id=8700834&view=true"
2022-01-13,"COVID-19 update (14): vaccines, CIDRAP, healthcare workers, WHO, global","https://promedmail.org/promed-post/?id=8700833&view=true"
2022-01-13,"Anthracnose, bean - Cuba: (PD) alert","https://promedmail.org/promed-post/?id=8700836&view=true"
2022-01-12,"COVID-19 update (13): US hospital staff, vaccine & MIS-C, common cold, WHO","https://promedmail.org/promed-post/?id=8700810&view=true"
2022-01-12,"African swine fever - Europe (04): Latvia (Latgale,Zemgale) wild boar, OIE","https://promedmail.org/promed-post/?id=8700820&view=true"
2022-01-12,"Botulism - Argentina: (MN) homemade sausage, fatal","https://promedmail.org/promed-post/?id=8700784&view=true"
2022-01-12,"Monkeypox - Africa (01): Nigeria","https://promedmail.org/promed-post/?id=8700812&view=true"
